#eta_center xi_center pdf_xi pdf_gauss count pdf_eta
8.0124223602e-01 -1.5627875406e+01 0.0000000000e+00 3.6892073823e-54 0.0000000000e+00 0.0000000000e+00
8.0372670807e-01 -1.5432530730e+01 0.0000000000e+00 7.6642681524e-53 0.0000000000e+00 0.0000000000e+00
8.0621118012e-01 -1.5237186054e+01 0.0000000000e+00 1.5326247498e-51 0.0000000000e+00 0.0000000000e+00
8.0869565217e-01 -1.5041841378e+01 0.0000000000e+00 2.9500440386e-50 0.0000000000e+00 0.0000000000e+00
8.1118012422e-01 -1.4846496702e+01 0.0000000000e+00 5.4657364293e-49 0.0000000000e+00 0.0000000000e+00
8.1366459627e-01 -1.4651152026e+01 0.0000000000e+00 9.7475706666e-48 0.0000000000e+00 0.0000000000e+00
8.1614906832e-01 -1.4455807350e+01 0.0000000000e+00 1.6732915613e-46 0.0000000000e+00 0.0000000000e+00
8.1863354037e-01 -1.4260462673e+01 0.0000000000e+00 2.7648677993e-45 0.0000000000e+00 0.0000000000e+00
8.2111801242e-01 -1.4065117997e+01 0.0000000000e+00 4.3974877830e-44 0.0000000000e+00 0.0000000000e+00
8.2360248447e-01 -1.3869773321e+01 0.0000000000e+00 6.7322840860e-43 0.0000000000e+00 0.0000000000e+00
8.2608695652e-01 -1.3674428645e+01 0.0000000000e+00 9.9208240522e-42 0.0000000000e+00 0.0000000000e+00
8.2857142857e-01 -1.3479083969e+01 0.0000000000e+00 1.4072154097e-40 0.0000000000e+00 0.0000000000e+00
8.3105590062e-01 -1.3283739293e+01 0.0000000000e+00 1.9213254624e-39 0.0000000000e+00 0.0000000000e+00
8.3354037267e-01 -1.3088394617e+01 0.0000000000e+00 2.5250432171e-38 0.0000000000e+00 0.0000000000e+00
8.3602484472e-01 -1.2893049941e+01 0.0000000000e+00 3.1942155109e-37 0.0000000000e+00 0.0000000000e+00
8.3850931677e-01 -1.2697705265e+01 0.0000000000e+00 3.8894405182e-36 0.0000000000e+00 0.0000000000e+00
8.4099378882e-01 -1.2502360588e+01 0.0000000000e+00 4.5586639154e-35 0.0000000000e+00 0.0000000000e+00
8.4347826087e-01 -1.2307015912e+01 0.0000000000e+00 5.1429883164e-34 0.0000000000e+00 0.0000000000e+00
8.4596273292e-01 -1.2111671236e+01 0.0000000000e+00 5.5849722734e-33 0.0000000000e+00 0.0000000000e+00
8.4844720497e-01 -1.1916326560e+01 0.0000000000e+00 5.8378647123e-32 0.0000000000e+00 0.0000000000e+00
8.5093167702e-01 -1.1720981884e+01 0.0000000000e+00 5.8737377539e-31 0.0000000000e+00 0.0000000000e+00
8.5341614907e-01 -1.1525637208e+01 0.0000000000e+00 5.6885633651e-30 0.0000000000e+00 0.0000000000e+00
8.5590062112e-01 -1.1330292532e+01 0.0000000000e+00 5.3029577723e-29 0.0000000000e+00 0.0000000000e+00
8.5838509317e-01 -1.1134947856e+01 0.0000000000e+00 4.7584034186e-28 0.0000000000e+00 0.0000000000e+00
8.6086956522e-01 -1.0939603180e+01 0.0000000000e+00 4.1099058217e-27 0.0000000000e+00 0.0000000000e+00
8.6335403727e-01 -1.0744258504e+01 0.0000000000e+00 3.4168821712e-26 0.0000000000e+00 0.0000000000e+00
8.6583850932e-01 -1.0548913827e+01 0.0000000000e+00 2.7343597750e-25 0.0000000000e+00 0.0000000000e+00
8.6832298137e-01 -1.0353569151e+01 0.0000000000e+00 2.1062447303e-24 0.0000000000e+00 0.0000000000e+00
8.7080745342e-01 -1.0158224475e+01 0.0000000000e+00 1.5616709368e-23 0.0000000000e+00 0.0000000000e+00
8.7329192547e-01 -9.9628797991e+00 0.0000000000e+00 1.1145453535e-22 0.0000000000e+00 0.0000000000e+00
8.7577639752e-01 -9.7675351230e+00 0.0000000000e+00 7.6565563745e-22 0.0000000000e+00 0.0000000000e+00
8.7826086957e-01 -9.5721904469e+00 0.0000000000e+00 5.0628696341e-21 0.0000000000e+00 0.0000000000e+00
8.8074534161e-01 -9.3768457708e+00 0.0000000000e+00 3.2224599327e-20 0.0000000000e+00 0.0000000000e+00
8.8322981366e-01 -9.1815010947e+00 0.0000000000e+00 1.9742667387e-19 0.0000000000e+00 0.0000000000e+00
8.8571428571e-01 -8.9861564186e+00 0.0000000000e+00 1.1642644930e-18 0.0000000000e+00 0.0000000000e+00
8.8819875776e-01 -8.7908117425e+00 0.0000000000e+00 6.6088363529e-18 0.0000000000e+00 0.0000000000e+00
8.9068322981e-01 -8.5954670664e+00 0.0000000000e+00 3.6109864982e-17 0.0000000000e+00 0.0000000000e+00
8.9316770186e-01 -8.4001223903e+00 0.0000000000e+00 1.8991280676e-16 0.0000000000e+00 0.0000000000e+00
8.9565217391e-01 -8.2047777142e+00 0.0000000000e+00 9.6141337884e-16 0.0000000000e+00 0.0000000000e+00
8.9813664596e-01 -8.0094330380e+00 0.0000000000e+00 4.6848273634e-15 0.0000000000e+00 0.0000000000e+00
9.0062111801e-01 -7.8140883619e+00 0.0000000000e+00 2.1973768424e-14 0.0000000000e+00 0.0000000000e+00
9.0310559006e-01 -7.6187436858e+00 0.0000000000e+00 9.9207159738e-14 0.0000000000e+00 0.0000000000e+00
9.0559006211e-01 -7.4233990097e+00 0.0000000000e+00 4.3113076056e-13 0.0000000000e+00 0.0000000000e+00
9.0807453416e-01 -7.2280543336e+00 0.0000000000e+00 1.8034434367e-12 0.0000000000e+00 0.0000000000e+00
9.1055900621e-01 -7.0327096575e+00 0.0000000000e+00 7.2614535277e-12 0.0000000000e+00 0.0000000000e+00
9.1304347826e-01 -6.8373649814e+00 0.0000000000e+00 2.8143112076e-11 0.0000000000e+00 0.0000000000e+00
9.1552795031e-01 -6.6420203053e+00 0.0000000000e+00 1.0499006374e-10 0.0000000000e+00 0.0000000000e+00
9.1801242236e-01 -6.4466756292e+00 0.0000000000e+00 3.7700907117e-10 0.0000000000e+00 0.0000000000e+00
9.2049689441e-01 -6.2513309531e+00 0.0000000000e+00 1.3031155330e-09 0.0000000000e+00 0.0000000000e+00
9.2298136646e-01 -6.0559862770e+00 0.0000000000e+00 4.3355236993e-09 0.0000000000e+00 0.0000000000e+00
9.2546583851e-01 -5.8606416009e+00 0.0000000000e+00 1.3884419563e-08 0.0000000000e+00 0.0000000000e+00
9.2795031056e-01 -5.6652969248e+00 0.0000000000e+00 4.2799767946e-08 0.0000000000e+00 0.0000000000e+00
9.3043478261e-01 -5.4699522487e+00 0.0000000000e+00 1.2699382996e-07 0.0000000000e+00 0.0000000000e+00
9.3291925466e-01 -5.2746075726e+00 0.0000000000e+00 3.6270316824e-07 0.0000000000e+00 0.0000000000e+00
9.3540372671e-01 -5.0792628965e+00 0.0000000000e+00 9.9712039307e-07 0.0000000000e+00 0.0000000000e+00
9.3788819876e-01 -4.8839182204e+00 0.0000000000e+00 2.6385867006e-06 0.0000000000e+00 0.0000000000e+00
9.4037267081e-01 -4.6885735443e+00 0.0000000000e+00 6.7208261421e-06 0.0000000000e+00 0.0000000000e+00
9.4285714286e-01 -4.4932288682e+00 0.0000000000e+00 1.6477885248e-05 0.0000000000e+00 0.0000000000e+00
9.4534161491e-01 -4.2978841921e+00 0.0000000000e+00 3.8887301612e-05 0.0000000000e+00 0.0000000000e+00
9.4782608696e-01 -4.1025395159e+00 0.0000000000e+00 8.8336800263e-05 0.0000000000e+00 0.0000000000e+00
9.5031055901e-01 -3.9071948398e+00 0.0000000000e+00 1.9315370415e-04 0.0000000000e+00 0.0000000000e+00
9.5279503106e-01 -3.7118501637e+00 0.0000000000e+00 4.0652938157e-04 0.0000000000e+00 0.0000000000e+00
9.5527950311e-01 -3.5165054876e+00 0.0000000000e+00 8.2358486842e-04 0.0000000000e+00 0.0000000000e+00
9.5776397516e-01 -3.3211608115e+00 3.6305580383e-05 1.6060249932e-03 2.2218585297e+00 2.8545709909e-03
9.6024844720e-01 -3.1258161354e+00 7.1392404732e-04 3.0145588153e-03 4.3691306333e+01 5.6133157870e-02
9.6273291925e-01 -2.9304714593e+00 2.3528753819e-03 5.4465656760e-03 1.4399318731e+02 1.8499772595e-01
9.6521739130e-01 -2.7351267832e+00 3.3968183763e-03 9.4721648855e-03 2.0788126243e+02 2.6707903017e-01
9.6770186335e-01 -2.5397821071e+00 6.7741780409e-03 1.5856351887e-02 4.1457167475e+02 5.3262809515e-01
9.7018633540e-01 -2.3444374310e+00 1.4701775966e-02 2.5549642180e-02 8.9973128062e+02 1.1559452498e+00
9.7267080745e-01 -2.1490927549e+00 2.8173086505e-02 3.9627245969e-02 1.7241595341e+03 2.2151436394e+00
9.7515527950e-01 -1.9537480788e+00 5.1797046916e-02 5.9160315338e-02 3.1699179380e+03 4.0726066346e+00
