#eta_center xi_center pdf_xi pdf_gauss count pdf_eta
8.0124223602e-01 -1.4532131228e+01 0.0000000000e+00 5.5352781662e-47 0.0000000000e+00 0.0000000000e+00
8.0372670807e-01 -1.4350486870e+01 0.0000000000e+00 7.6273390617e-46 0.0000000000e+00 0.0000000000e+00
8.0621118012e-01 -1.4168842512e+01 0.0000000000e+00 1.0168976662e-44 0.0000000000e+00 0.0000000000e+00
8.0869565217e-01 -1.3987198154e+01 0.0000000000e+00 1.3117529338e-43 0.0000000000e+00 0.0000000000e+00
8.1118012422e-01 -1.3805553796e+01 0.0000000000e+00 1.6371837804e-42 0.0000000000e+00 0.0000000000e+00
8.1366459627e-01 -1.3623909439e+01 0.0000000000e+00 1.9770307234e-41 0.0000000000e+00 0.0000000000e+00
8.1614906832e-01 -1.3442265081e+01 0.0000000000e+00 2.3099362749e-40 0.0000000000e+00 0.0000000000e+00
8.1863354037e-01 -1.3260620723e+01 0.0000000000e+00 2.6113024447e-39 0.0000000000e+00 0.0000000000e+00
8.2111801242e-01 -1.3078976365e+01 0.0000000000e+00 2.8561758803e-38 0.0000000000e+00 0.0000000000e+00
8.2360248447e-01 -1.2897332007e+01 0.0000000000e+00 3.0226183530e-37 0.0000000000e+00 0.0000000000e+00
8.2608695652e-01 -1.2715687649e+01 0.0000000000e+00 3.0949403163e-36 0.0000000000e+00 0.0000000000e+00
8.2857142857e-01 -1.2534043291e+01 0.0000000000e+00 3.0661389874e-35 0.0000000000e+00 0.0000000000e+00
8.3105590062e-01 -1.2352398933e+01 0.0000000000e+00 2.9390162829e-34 0.0000000000e+00 0.0000000000e+00
8.3354037267e-01 -1.2170754575e+01 0.0000000000e+00 2.7257294255e-33 0.0000000000e+00 0.0000000000e+00
8.3602484472e-01 -1.1989110217e+01 0.0000000000e+00 2.4458740465e-32 0.0000000000e+00 0.0000000000e+00
8.3850931677e-01 -1.1807465859e+01 0.0000000000e+00 2.1235184101e-31 0.0000000000e+00 0.0000000000e+00
8.4099378882e-01 -1.1625821501e+01 0.0000000000e+00 1.7838098922e-30 0.0000000000e+00 0.0000000000e+00
8.4347826087e-01 -1.1444177143e+01 0.0000000000e+00 1.4498120371e-29 0.0000000000e+00 0.0000000000e+00
8.4596273292e-01 -1.1262532786e+01 0.0000000000e+00 1.1401065219e-28 0.0000000000e+00 0.0000000000e+00
8.4844720497e-01 -1.1080888428e+01 0.0000000000e+00 8.6746059254e-28 0.0000000000e+00 0.0000000000e+00
8.5093167702e-01 -1.0899244070e+01 0.0000000000e+00 6.3859376624e-27 0.0000000000e+00 0.0000000000e+00
8.5341614907e-01 -1.0717599712e+01 0.0000000000e+00 4.5485208591e-26 0.0000000000e+00 0.0000000000e+00
8.5590062112e-01 -1.0535955354e+01 0.0000000000e+00 3.1346301197e-25 0.0000000000e+00 0.0000000000e+00
8.5838509317e-01 -1.0354310996e+01 0.0000000000e+00 2.0901286079e-24 0.0000000000e+00 0.0000000000e+00
8.6086956522e-01 -1.0172666638e+01 0.0000000000e+00 1.3484359190e-23 0.0000000000e+00 0.0000000000e+00
8.6335403727e-01 -9.9910222800e+00 0.0000000000e+00 8.4170171325e-23 0.0000000000e+00 0.0000000000e+00
8.6583850932e-01 -9.8093779221e+00 0.0000000000e+00 5.0834283368e-22 0.0000000000e+00 0.0000000000e+00
8.6832298137e-01 -9.6277335642e+00 0.0000000000e+00 2.9704742742e-21 0.0000000000e+00 0.0000000000e+00
8.7080745342e-01 -9.4460892062e+00 0.0000000000e+00 1.6794438224e-20 0.0000000000e+00 0.0000000000e+00
8.7329192547e-01 -9.2644448483e+00 0.0000000000e+00 9.1870432860e-20 0.0000000000e+00 0.0000000000e+00
8.7577639752e-01 -9.0828004904e+00 0.0000000000e+00 4.8624666951e-19 0.0000000000e+00 0.0000000000e+00
8.7826086957e-01 -8.9011561325e+00 0.0000000000e+00 2.4900502561e-18 0.0000000000e+00 0.0000000000e+00
8.8074534161e-01 -8.7195117745e+00 0.0000000000e+00 1.2337585657e-17 0.0000000000e+00 0.0000000000e+00
8.8322981366e-01 -8.5378674166e+00 0.0000000000e+00 5.9145654910e-17 0.0000000000e+00 0.0000000000e+00
8.8571428571e-01 -8.3562230587e+00 0.0000000000e+00 2.7433808633e-16 0.0000000000e+00 0.0000000000e+00
8.8819875776e-01 -8.1745787008e+00 0.0000000000e+00 1.2311754880e-15 0.0000000000e+00 0.0000000000e+00
8.9068322981e-01 -7.9929343428e+00 0.0000000000e+00 5.3459440791e-15 0.0000000000e+00 0.0000000000e+00
8.9316770186e-01 -7.8112899849e+00 0.0000000000e+00 2.2459467666e-14 0.0000000000e+00 0.0000000000e+00
8.9565217391e-01 -7.6296456270e+00 0.0000000000e+00 9.1294602276e-14 0.0000000000e+00 0.0000000000e+00
8.9813664596e-01 -7.4480012690e+00 0.0000000000e+00 3.5905529793e-13 0.0000000000e+00 0.0000000000e+00
