#eta_center xi_center pdf_xi pdf_gauss count pdf_eta
8.0124223602e-01 -2.0350411321e+01 0.0000000000e+00 4.6958750091e-91 0.0000000000e+00 0.0000000000e+00
8.0372670807e-01 -2.0096043393e+01 0.0000000000e+00 8.0498601041e-89 0.0000000000e+00 0.0000000000e+00
8.0621118012e-01 -1.9841675466e+01 0.0000000000e+00 1.2934807294e-86 0.0000000000e+00 0.0000000000e+00
8.0869565217e-01 -1.9587307538e+01 0.0000000000e+00 1.9481904872e-84 0.0000000000e+00 0.0000000000e+00
8.1118012422e-01 -1.9332939610e+01 0.0000000000e+00 2.7504433196e-82 0.0000000000e+00 0.0000000000e+00
8.1366459627e-01 -1.9078571683e+01 0.0000000000e+00 3.6397688706e-80 0.0000000000e+00 0.0000000000e+00
8.1614906832e-01 -1.8824203755e+01 0.0000000000e+00 4.5148646865e-78 0.0000000000e+00 0.0000000000e+00
8.1863354037e-01 -1.8569835827e+01 0.0000000000e+00 5.2494704673e-76 0.0000000000e+00 0.0000000000e+00
8.2111801242e-01 -1.8315467900e+01 0.0000000000e+00 5.7211861743e-74 0.0000000000e+00 0.0000000000e+00
8.2360248447e-01 -1.8061099972e+01 0.0000000000e+00 5.8446228248e-72 0.0000000000e+00 0.0000000000e+00
8.2608695652e-01 -1.7806732044e+01 0.0000000000e+00 5.5966316569e-70 0.0000000000e+00 0.0000000000e+00
8.2857142857e-01 -1.7552364117e+01 0.0000000000e+00 5.0233887109e-68 0.0000000000e+00 0.0000000000e+00
8.3105590062e-01 -1.7297996189e+01 0.0000000000e+00 4.2263617915e-66 0.0000000000e+00 0.0000000000e+00
8.3354037267e-01 -1.7043628261e+01 0.0000000000e+00 3.3330082087e-64 0.0000000000e+00 0.0000000000e+00
8.3602484472e-01 -1.6789260334e+01 0.0000000000e+00 2.4638026654e-62 0.0000000000e+00 0.0000000000e+00
8.3850931677e-01 -1.6534892406e+01 0.0000000000e+00 1.7071641566e-60 0.0000000000e+00 0.0000000000e+00
8.4099378882e-01 -1.6280524478e+01 0.0000000000e+00 1.1087776739e-58 0.0000000000e+00 0.0000000000e+00
8.4347826087e-01 -1.6026156551e+01 0.0000000000e+00 6.7501509810e-57 0.0000000000e+00 0.0000000000e+00
8.4596273292e-01 -1.5771788623e+01 0.0000000000e+00 3.8519649507e-55 0.0000000000e+00 0.0000000000e+00
8.4844720497e-01 -1.5517420695e+01 0.0000000000e+00 2.0603973963e-53 0.0000000000e+00 0.0000000000e+00
8.5093167702e-01 -1.5263052768e+01 0.0000000000e+00 1.0330455794e-51 0.0000000000e+00 0.0000000000e+00
8.5341614907e-01 -1.5008684840e+01 0.0000000000e+00 4.8549839717e-50 0.0000000000e+00 0.0000000000e+00
8.5590062112e-01 -1.4754316913e+01 0.0000000000e+00 2.1387299095e-48 0.0000000000e+00 0.0000000000e+00
8.5838509317e-01 -1.4499948985e+01 0.0000000000e+00 8.8312852170e-47 0.0000000000e+00 0.0000000000e+00
8.6086956522e-01 -1.4245581057e+01 0.0000000000e+00 3.4181546254e-45 0.0000000000e+00 0.0000000000e+00
8.6335403727e-01 -1.3991213130e+01 0.0000000000e+00 1.2401074718e-43 0.0000000000e+00 0.0000000000e+00
8.6583850932e-01 -1.3736845202e+01 0.0000000000e+00 4.2172249688e-42 0.0000000000e+00 0.0000000000e+00
8.6832298137e-01 -1.3482477274e+01 0.0000000000e+00 1.3442933176e-40 0.0000000000e+00 0.0000000000e+00
8.7080745342e-01 -1.3228109347e+01 0.0000000000e+00 4.0166236036e-39 0.0000000000e+00 0.0000000000e+00
8.7329192547e-01 -1.2973741419e+01 0.0000000000e+00 1.1249366287e-37 0.0000000000e+00 0.0000000000e+00
8.7577639752e-01 -1.2719373491e+01 0.0000000000e+00 2.9532132308e-36 0.0000000000e+00 0.0000000000e+00
8.7826086957e-01 -1.2465005564e+01 0.0000000000e+00 7.2671040526e-35 0.0000000000e+00 0.0000000000e+00
8.8074534161e-01 -1.2210637636e+01 0.0000000000e+00 1.6762074917e-33 0.0000000000e+00 0.0000000000e+00
8.8322981366e-01 -1.1956269708e+01 0.0000000000e+00 3.6240485054e-32 0.0000000000e+00 0.0000000000e+00
8.8571428571e-01 -1.1701901781e+01 0.0000000000e+00 7.3444630766e-31 0.0000000000e+00 0.0000000000e+00
8.8819875776e-01 -1.1447533853e+01 0.0000000000e+00 1.3951661396e-29 0.0000000000e+00 0.0000000000e+00
8.9068322981e-01 -1.1193165925e+01 0.0000000000e+00 2.4842290085e-28 0.0000000000e+00 0.0000000000e+00
8.9316770186e-01 -1.0938797998e+01 0.0000000000e+00 4.1462659547e-27 0.0000000000e+00 0.0000000000e+00
8.9565217391e-01 -1.0684430070e+01 0.0000000000e+00 6.4866805127e-26 0.0000000000e+00 0.0000000000e+00
8.9813664596e-01 -1.0430062143e+01 0.0000000000e+00 9.5123470421e-25 0.0000000000e+00 0.0000000000e+00
9.0062111801e-01 -1.0175694215e+01 0.0000000000e+00 1.3075330953e-23 0.0000000000e+00 0.0000000000e+00
9.0310559006e-01 -9.9213262872e+00 0.0000000000e+00 1.6846803862e-22 0.0000000000e+00 0.0000000000e+00
9.0559006211e-01 -9.6669583596e+00 0.0000000000e+00 2.0346146849e-21 0.0000000000e+00 0.0000000000e+00
9.0807453416e-01 -9.4125904319e+00 0.0000000000e+00 2.3032795699e-20 0.0000000000e+00 0.0000000000e+00
9.1055900621e-01 -9.1582225043e+00 0.0000000000e+00 2.4440549261e-19 0.0000000000e+00 0.0000000000e+00
9.1304347826e-01 -8.9038545766e+00 0.0000000000e+00 2.4309447796e-18 0.0000000000e+00 0.0000000000e+00
9.1552795031e-01 -8.6494866490e+00 0.0000000000e+00 2.2664129931e-17 0.0000000000e+00 0.0000000000e+00
9.1801242236e-01 -8.3951187213e+00 0.0000000000e+00 1.9806276358e-16 0.0000000000e+00 0.0000000000e+00
9.2049689441e-01 -8.1407507937e+00 0.0000000000e+00 1.6224317751e-15 0.0000000000e+00 0.0000000000e+00
9.2298136646e-01 -7.8863828660e+00 0.0000000000e+00 1.2457470798e-14 0.0000000000e+00 0.0000000000e+00
9.2546583851e-01 -7.6320149384e+00 0.0000000000e+00 8.9658844585e-14 0.0000000000e+00 0.0000000000e+00
9.2795031056e-01 -7.3776470107e+00 0.0000000000e+00 6.0486189205e-13 0.0000000000e+00 0.0000000000e+00
9.3043478261e-01 -7.1232790831e+00 0.0000000000e+00 3.8248916310e-12 0.0000000000e+00 0.0000000000e+00
9.3291925466e-01 -6.8689111554e+00 0.0000000000e+00 2.2671584410e-11 0.0000000000e+00 0.0000000000e+00
9.3540372671e-01 -6.6145432278e+00 0.0000000000e+00 1.2596341741e-10 0.0000000000e+00 0.0000000000e+00
9.3788819876e-01 -6.3601753001e+00 0.0000000000e+00 6.5600450653e-10 0.0000000000e+00 0.0000000000e+00
9.4037267081e-01 -6.1058073725e+00 0.0000000000e+00 3.2023517729e-09 0.0000000000e+00 0.0000000000e+00
9.4285714286e-01 -5.8514394448e+00 0.0000000000e+00 1.4653152728e-08 0.0000000000e+00 0.0000000000e+00
9.4534161491e-01 -5.5970715172e+00 0.0000000000e+00 6.2848214115e-08 0.0000000000e+00 0.0000000000e+00
9.4782608696e-01 -5.3427035895e+00 0.0000000000e+00 2.5267055373e-07 0.0000000000e+00 0.0000000000e+00
9.5031055901e-01 -5.0883356619e+00 0.0000000000e+00 9.5217362734e-07 0.0000000000e+00 0.0000000000e+00
9.5279503106e-01 -4.8339677342e+00 0.0000000000e+00 3.3633920285e-06 0.0000000000e+00 0.0000000000e+00
9.5527950311e-01 -4.5795998066e+00 0.0000000000e+00 1.1136241955e-05 0.0000000000e+00 0.0000000000e+00
9.5776397516e-01 -4.3252318789e+00 1.6225125410e-10 3.4562062520e-05 1.2994751607e-05 1.6611784894e-08
9.6024844720e-01 -4.0708639513e+00 0.0000000000e+00 1.0054499813e-04 0.0000000000e+00 0.0000000000e+00
9.6273291925e-01 -3.8164960236e+00 2.1659010279e-05 2.7417074674e-04 1.7346766297e+00 2.2175164177e-03
9.6521739130e-01 -3.5621280960e+00 3.1984560875e-04 7.0077981661e-04 2.5616530741e+01 3.2746782028e-02
9.6770186335e-01 -3.3077601683e+00 1.3660615566e-03 1.6789659202e-03 1.0940827981e+02 1.3986160450e-01
9.7018633540e-01 -3.0533922407e+00 2.3703988760e-03 3.7705265422e-03 1.8984595696e+02 2.4268876354e-01
9.7267080745e-01 -2.7990243130e+00 5.6446120284e-03 7.9371017786e-03 4.5207867042e+02 5.7791282628e-01
9.7515527950e-01 -2.5446563854e+00 1.2207667141e-02 1.5661080505e-02 9.7771572298e+02 1.2498586944e+00
9.7763975155e-01 -2.2902884577e+00 2.2223503548e-02 2.8965519389e-02 1.7798870649e+03 2.2753109834e+00
9.8012422360e-01 -2.0359205301e+00 4.2728392989e-02 5.0215841437e-02 3.4221298106e+03 4.3746649425e+00
9.8260869565e-01 -1.7815526024e+00 7.8638083081e-02 8.1601847951e-02 6.2981476610e+03 8.0512100066e+00
9.8509316770e-01 -1.5271846748e+00 1.3031543523e-01 1.2429654846e-01 1.0437002295e+04 1.3342097048e+01
9.8757763975e-01 -1.2728167471e+00 1.8993691497e-01 1.7746714796e-01 1.5212104490e+04 1.9446328426e+01
9.9006211180e-01 -1.0184488195e+00 2.5217256675e-01 2.3750715440e-01 2.0196576509e+04 2.5818206819e+01
9.9254658385e-01 -7.6408089183e-01 3.2644968487e-01 2.9794441467e-01 2.6145453178e+04 3.3422927754e+01
9.9503105590e-01 -5.0971296418e-01 3.6074094278e-01 3.5034314653e-01 2.8891850310e+04 3.6933772729e+01
9.9751552795e-01 -2.5534503653e-01 3.9183944859e-01 3.8614625704e-01 3.1382538968e+04 4.0117733875e+01
