#t_end i t_rel win_id is_partial nsnap t_start t_last eta_mean_win eta_sigma_win xi_skew xi_kurt weight_win sx_mean_win sx_sigma_win sx_skew sx_kurt sz_mean_win sz_sigma_win sz_skew sz_kurt
#  slope stats normalised by sumwsx (area with |n.y|>0.10); cells with steeper interfaces excluded
3.2746891523e+03 1523121 1.6454091523e+03 1 1 4755 3.2708001160e+03 3.2746891523e+03 1.0000092182e+00 9.7020104060e-03 4.6012024416e-02 2.9506148061e+00 1.8850797369e+05 -1.8715881636e-04 8.0701731688e-02 -2.2352230637e-01 3.3616687717e+00 -8.7153806086e-07 3.0808932732e-02 -4.4621367259e-03 3.2431247702e+00
3.2750818514e+03 1523650 1.6458018514e+03 1 1 5284 3.2708001160e+03 3.2750818514e+03 1.0000093612e+00 9.7126642355e-03 8.3217355866e-02 2.9773051533e+00 2.0947054161e+05 -1.7939782393e-04 8.0275912470e-02 -2.1031235766e-01 3.3400321923e+00 -2.4370157802e-07 3.0673790616e-02 2.8326739264e-03 3.2457829823e+00
3.2754745505e+03 1524213 1.6461945505e+03 1 1 5847 3.2708001160e+03 3.2754745505e+03 1.0000094463e+00 9.7218941560e-03 1.1681413400e-01 3.0092967818e+00 2.3177878985e+05 -1.7294911287e-04 7.9842472369e-02 -1.9976441397e-01 3.3237992097e+00 5.8369944294e-07 3.0543308246e-02 1.5460522914e-02 3.2630872529e+00
3.2754745505e+03 1524213 1.6461945505e+03 1 1 5847 3.2708001160e+03 3.2754745505e+03 1.0000094463e+00 9.7218941560e-03 1.1681413400e-01 3.0092967818e+00 2.3177878985e+05 -1.7294911287e-04 7.9842472369e-02 -1.9976441397e-01 3.3237992097e+00 5.8369944294e-07 3.0543308246e-02 1.5460522914e-02 3.2630872529e+00
3.2758672496e+03 1524723 1.6465872496e+03 1 1 6357 3.2708001160e+03 3.2758672496e+03 1.0000094867e+00 9.7334915344e-03 1.3958495799e-01 3.0281242311e+00 2.5198676612e+05 -1.6792007762e-04 7.9522819532e-02 -1.9112540189e-01 3.3096409251e+00 1.1571697045e-06 3.0449996845e-02 2.6365719752e-02 3.2812760633e+00
3.2762599486e+03 1525210 1.6469799486e+03 1 1 6844 3.2708001160e+03 3.2762599486e+03 1.0000095619e+00 9.7437395748e-03 1.5529019042e-01 3.0422265798e+00 2.7128054120e+05 -1.6411998376e-04 7.9222778078e-02 -1.8569249101e-01 3.3044093907e+00 1.4431457302e-06 3.0364307686e-02 3.4874399425e-02 3.3159928264e+00
3.2762599486e+03 1525210 1.6469799486e+03 1 1 6844 3.2708001160e+03 3.2762599486e+03 1.0000095619e+00 9.7437395748e-03 1.5529019042e-01 3.0422265798e+00 2.7128054120e+05 -1.6411998376e-04 7.9222778078e-02 -1.8569249101e-01 3.3044093907e+00 1.4431457302e-06 3.0364307686e-02 3.4874399425e-02 3.3159928264e+00
3.2766526477e+03 1525724 1.6473726477e+03 1 1 7358 3.2708001160e+03 3.2766526477e+03 1.0000095810e+00 9.7553864502e-03 1.6163874872e-01 3.0477654595e+00 2.9164433147e+05 -1.6117833285e-04 7.8951592601e-02 -1.8162093851e-01 3.3061559069e+00 1.7047302971e-06 3.0288834808e-02 4.0102844708e-02 3.3709669006e+00
3.2770453468e+03 1526257 1.6477653468e+03 1 1 7891 3.2708001160e+03 3.2770453468e+03 1.0000095492e+00 9.7661756282e-03 1.6073079835e-01 3.0395982859e+00 3.1276030847e+05 -1.5825882983e-04 7.8681576503e-02 -1.7643744506e-01 3.3053625777e+00 1.6858171012e-06 3.0213342063e-02 3.7771005064e-02 3.4090042419e+00
3.2770453468e+03 1526257 1.6477653468e+03 1 1 7891 3.2708001160e+03 3.2770453468e+03 1.0000095492e+00 9.7661756282e-03 1.6073079835e-01 3.0395982859e+00 3.1276030847e+05 -1.5825882983e-04 7.8681576503e-02 -1.7643744506e-01 3.3053625777e+00 1.6858171012e-06 3.0213342063e-02 3.7771005064e-02 3.4090042419e+00
3.2770835875e+03 1526310 1.6478035875e+03 1 0 7944 3.2708001160e+03 3.2770835875e+03 1.0000095437e+00 9.7672378458e-03 1.6016845350e-01 3.0381543463e+00 3.1486005600e+05 -1.5798490829e-04 7.8657447029e-02 -1.7590351370e-01 3.3048678406e+00 1.6587583451e-06 3.0205636409e-02 3.7084162959e-02 3.4108049780e+00
3.2774380459e+03 1526819 1.6481580459e+03 2 1 509 3.2770835875e+03 3.2774380459e+03 1.0000077012e+00 9.9353410439e-03 3.3633640748e-02 2.8289368682e+00 2.0166495669e+04 -1.1647357687e-04 7.4845376955e-02 -8.7097705708e-02 3.1517631833e+00 -3.3097667357e-07 2.8926349345e-02 -1.0344638245e-01 3.5588338181e+00
3.2778307450e+03 1527369 1.6485507450e+03 2 1 1059 3.2770835875e+03 3.2778307450e+03 1.0000072462e+00 9.9555406188e-03 1.3992049456e-02 2.8670666578e+00 4.1956727763e+04 -1.1151024093e-04 7.4629726477e-02 -7.3665173188e-02 3.1347401812e+00 4.9374212255e-07 2.8860698679e-02 -1.1199138955e-01 3.5064350912e+00
3.2778307450e+03 1527369 1.6485507450e+03 2 1 1059 3.2770835875e+03 3.2778307450e+03 1.0000072462e+00 9.9555406188e-03 1.3992049456e-02 2.8670666578e+00 4.1956727763e+04 -1.1151024093e-04 7.4629726477e-02 -7.3665173188e-02 3.1347401812e+00 4.9374212255e-07 2.8860698679e-02 -1.1199138955e-01 3.5064350912e+00
3.2782234441e+03 1527895 1.6489434441e+03 2 1 1585 3.2770835875e+03 3.2782234441e+03 1.0000071728e+00 9.9782914086e-03 -2.2908233508e-03 2.9287008998e+00 6.2796452675e+04 -1.0765286202e-04 7.4592518481e-02 -6.5545488344e-02 3.1273573887e+00 1.6076876378e-06 2.8839613201e-02 -1.0516763234e-01 3.4733192419e+00
3.2786161431e+03 1528401 1.6493361431e+03 2 1 2091 3.2770835875e+03 3.2786161431e+03 1.0000070109e+00 9.9849162665e-03 -1.1708087443e-02 2.9870979637e+00 8.2842811983e+04 -1.0482337568e-04 7.4461870399e-02 -5.8563903520e-02 3.1309058627e+00 2.4725675858e-06 2.8780738956e-02 -8.9815931776e-02 3.4310128794e+00
3.2786161431e+03 1528401 1.6493361431e+03 2 1 2091 3.2770835875e+03 3.2786161431e+03 1.0000070109e+00 9.9849162665e-03 -1.1708087443e-02 2.9870979637e+00 8.2842811983e+04 -1.0482337568e-04 7.4461870399e-02 -5.8563903520e-02 3.1309058627e+00 2.4725675858e-06 2.8780738956e-02 -8.9815931776e-02 3.4310128794e+00
3.2790088422e+03 1528927 1.6497288422e+03 2 1 2617 3.2770835875e+03 3.2790088422e+03 1.0000067739e+00 9.9923603285e-03 -1.8091229525e-02 3.0259604613e+00 1.0368074103e+05 -1.0296668004e-04 7.4338510428e-02 -5.4726157460e-02 3.1182385304e+00 2.8640464168e-06 2.8743552677e-02 -6.5302746214e-02 3.3991573294e+00
3.2794015413e+03 1529454 1.6501215413e+03 2 1 3144 3.2770835875e+03 3.2794015413e+03 1.0000066771e+00 1.0007941114e-02 -1.7897699464e-02 3.0299281064e+00 1.2455937300e+05 -1.0292013105e-04 7.4249042828e-02 -5.6231641279e-02 3.0935144986e+00 3.1821042552e-06 2.8730562518e-02 -3.5966261735e-02 3.4138837018e+00
3.2794015413e+03 1529454 1.6501215413e+03 2 1 3144 3.2770835875e+03 3.2794015413e+03 1.0000066771e+00 1.0007941114e-02 -1.7897699464e-02 3.0299281064e+00 1.2455937300e+05 -1.0292013105e-04 7.4249042828e-02 -5.6231641279e-02 3.0935144986e+00 3.1821042552e-06 2.8730562518e-02 -3.5966261735e-02 3.4138837018e+00
3.2797942404e+03 1530001 1.6505142404e+03 2 1 3377 3.2770835875e+03 3.2797942404e+03 1.0000066207e+00 1.0016432263e-02 -1.4996012573e-02 3.0239163959e+00 1.3378987869e+05 -1.0368892189e-04 7.4216695275e-02 -6.1408260932e-02 3.0976231609e+00 3.3544777438e-06 2.8729898130e-02 -1.9995653925e-02 3.4421643940e+00
3.2801869395e+03 1530463 1.6509069395e+03 2 1 3839 3.2770835875e+03 3.2801869395e+03 1.0000066422e+00 1.0029264607e-02 -4.0809208317e-03 3.0087053188e+00 1.5209240890e+05 -1.0553462579e-04 7.4175371384e-02 -7.2809336880e-02 3.1126377937e+00 3.6853158879e-06 2.8724199859e-02 8.4432494231e-03 3.4878212443e+00
3.2801869395e+03 1530463 1.6509069395e+03 2 1 3839 3.2770835875e+03 3.2801869395e+03 1.0000066422e+00 1.0029264607e-02 -4.0809208317e-03 3.0087053188e+00 1.5209240890e+05 -1.0553462579e-04 7.4175371384e-02 -7.2809336880e-02 3.1126377937e+00 3.6853158879e-06 2.8724199859e-02 8.4432494231e-03 3.4878212443e+00
3.2805796385e+03 1530928 1.6512996385e+03 2 1 4304 3.2770835875e+03 3.2805796385e+03 1.0000067262e+00 1.0037801690e-02 1.1796078641e-02 3.0043574419e+00 1.7051308411e+05 -1.0788988359e-04 7.4134187119e-02 -8.6525124422e-02 3.1344462799e+00 3.9893816132e-06 2.8720230503e-02 2.4814851480e-02 3.4991873089e+00
3.2809723376e+03 1531435 1.6516923376e+03 2 1 4811 3.2770835875e+03 3.2809723376e+03 1.0000069612e+00 1.0049166880e-02 3.5324514305e-02 3.0266085202e+00 1.9059685019e+05 -1.0996962932e-04 7.4132914353e-02 -9.9679154033e-02 3.1886571466e+00 4.3903755725e-06 2.8718425694e-02 2.4236854865e-02 3.5237905291e+00
3.2809723376e+03 1531435 1.6516923376e+03 2 1 4811 3.2770835875e+03 3.2809723376e+03 1.0000069612e+00 1.0049166880e-02 3.5324514305e-02 3.0266085202e+00 1.9059685019e+05 -1.0996962932e-04 7.4132914353e-02 -9.9679154033e-02 3.1886571466e+00 4.3903755725e-06 2.8718425694e-02 2.4236854865e-02 3.5237905291e+00
3.2813650367e+03 1531968 1.6520850367e+03 2 1 5344 3.2770835875e+03 3.2813650367e+03 1.0000072552e+00 1.0063171230e-02 6.1708012650e-02 3.0659807715e+00 2.1171104258e+05 -1.1156395743e-04 7.4137297009e-02 -1.1034237014e-01 3.2460521036e+00 4.3975992092e-06 2.8711832075e-02 9.4286344152e-03 3.5658630572e+00
3.2817577358e+03 1532465 1.6524777358e+03 2 1 5841 3.2770835875e+03 3.2817577358e+03 1.0000075849e+00 1.0077294372e-02 8.5666049749e-02 3.1092465207e+00 2.3140059832e+05 -1.1188912179e-04 7.4139043167e-02 -1.1398350481e-01 3.2873598918e+00 4.3185492776e-06 2.8698699906e-02 -7.5561431532e-03 3.6168339883e+00
3.2817577358e+03 1532465 1.6524777358e+03 2 1 5841 3.2770835875e+03 3.2817577358e+03 1.0000075849e+00 1.0077294372e-02 8.5666049749e-02 3.1092465207e+00 2.3140059832e+05 -1.1188912179e-04 7.4139043167e-02 -1.1398350481e-01 3.2873598918e+00 4.3185492776e-06 2.8698699906e-02 -7.5561431532e-03 3.6168339883e+00
3.2821504349e+03 1532947 1.6528704349e+03 2 1 6323 3.2770835875e+03 3.2821504349e+03 1.0000077266e+00 1.0089903927e-02 1.0606547702e-01 3.1330303307e+00 2.5049432932e+05 -1.1057955268e-04 7.4114728927e-02 -1.1015755836e-01 3.2904396868e+00 4.0645903051e-06 2.8672758544e-02 -1.7256025824e-02 3.6381368990e+00
3.2825431339e+03 1533408 1.6532631339e+03 2 1 6784 3.2770835875e+03 3.2825431339e+03 1.0000077911e+00 1.0100586393e-02 1.2143851429e-01 3.1342265438e+00 2.6875658690e+05 -1.0869070891e-04 7.4074503345e-02 -1.0362172209e-01 3.2924002428e+00 3.6799637899e-06 2.8647358699e-02 -2.1323178180e-02 3.6339453518e+00
3.2825431339e+03 1533408 1.6532631339e+03 2 1 6784 3.2770835875e+03 3.2825431339e+03 1.0000077911e+00 1.0100586393e-02 1.2143851429e-01 3.1342265438e+00 2.6875658690e+05 -1.0869070891e-04 7.4074503345e-02 -1.0362172209e-01 3.2924002428e+00 3.6799637899e-06 2.8647358699e-02 -2.1323178180e-02 3.6339453518e+00
3.2829358330e+03 1533857 1.6536558330e+03 2 1 7233 3.2770835875e+03 3.2829358330e+03 1.0000077169e+00 1.0110647853e-02 1.3331127045e-01 3.1263103418e+00 2.8654200790e+05 -1.0730387203e-04 7.4027038914e-02 -9.8685875338e-02 3.2978048156e+00 3.5137105729e-06 2.8622768360e-02 -2.1489918056e-02 3.6235602514e+00
3.2833285321e+03 1534272 1.6540485321e+03 2 1 7648 3.2770835875e+03 3.2833285321e+03 1.0000076267e+00 1.0120312004e-02 1.4090373154e-01 3.1244802647e+00 3.0298031147e+05 -1.0621910347e-04 7.3980521407e-02 -9.5830577847e-02 3.3016684254e+00 3.6114201229e-06 2.8594261228e-02 -1.9693355468e-02 3.6112811196e+00
3.2833285321e+03 1534272 1.6540485321e+03 2 1 7648 3.2770835875e+03 3.2833285321e+03 1.0000076267e+00 1.0120312004e-02 1.4090373154e-01 3.1244802647e+00 3.0298031147e+05 -1.0621910347e-04 7.3980521407e-02 -9.5830577847e-02 3.3016684254e+00 3.6114201229e-06 2.8594261228e-02 -1.9693355468e-02 3.6112811196e+00
3.2833673286e+03 1534313 1.6540873286e+03 2 0 7689 3.2770835875e+03 3.2833673286e+03 1.0000076162e+00 1.0121268181e-02 1.4141693243e-01 3.1249052928e+00 3.0460428671e+05 -1.0614320777e-04 7.3975647861e-02 -9.5720535451e-02 3.3017363428e+00 3.6321929370e-06 2.8591597872e-02 -1.9463434467e-02 3.6101614904e+00
3.2837212312e+03 1534754 1.6544412312e+03 3 1 441 3.2833673286e+03 3.2837212312e+03 1.0000059552e+00 1.0303077341e-02 1.9738553607e-01 3.2968022974e+00 1.7467677032e+04 -9.6299444830e-05 7.2893531354e-02 -9.3897276622e-02 3.2474175802e+00 6.4337691650e-06 2.8116197173e-02 7.0394418611e-03 3.3642054653e+00
3.2841139303e+03 1535225 1.6548339303e+03 3 1 912 3.2833673286e+03 3.2841139303e+03 1.0000055431e+00 1.0317497610e-02 1.6856561057e-01 3.3510839894e+00 3.6122831739e+04 -1.0019334431e-04 7.2750603042e-02 -1.1417924264e-01 3.1764791973e+00 5.4397807385e-06 2.8138133549e-02 1.5256303868e-02 3.3367730415e+00
3.2841139303e+03 1535225 1.6548339303e+03 3 1 912 3.2833673286e+03 3.2841139303e+03 1.0000055431e+00 1.0317497610e-02 1.6856561057e-01 3.3510839894e+00 3.6122831739e+04 -1.0019334431e-04 7.2750603042e-02 -1.1417924264e-01 3.1764791973e+00 5.4397807385e-06 2.8138133549e-02 1.5256303868e-02 3.3367730415e+00
3.2845066294e+03 1535671 1.6552266294e+03 3 1 1358 3.2833673286e+03 3.2845066294e+03 1.0000057583e+00 1.0338491636e-02 1.5175202402e-01 3.3550581257e+00 5.3788694123e+04 -1.0369792044e-04 7.2770471297e-02 -1.2921945266e-01 3.1748606579e+00 5.0947867632e-06 2.8147555417e-02 2.9216066341e-02 3.3274327363e+00
3.2848993284e+03 1536048 1.6556193284e+03 3 1 1735 3.2833673286e+03 3.2848993284e+03 1.0000060158e+00 1.0347143719e-02 1.4047672289e-01 3.3354673373e+00 6.8721840355e+04 -1.0702070765e-04 7.2834168690e-02 -1.4520557981e-01 3.2264802276e+00 5.2224975834e-06 2.8159692392e-02 4.2825631765e-02 3.3145308772e+00
3.2848993284e+03 1536048 1.6556193284e+03 3 1 1735 3.2833673286e+03 3.2848993284e+03 1.0000060158e+00 1.0347143719e-02 1.4047672289e-01 3.3354673373e+00 6.8721840355e+04 -1.0702070765e-04 7.2834168690e-02 -1.4520557981e-01 3.2264802276e+00 5.2224975834e-06 2.8159692392e-02 4.2825631765e-02 3.3145308772e+00
3.2852920275e+03 1536435 1.6560120275e+03 3 1 2122 3.2833673286e+03 3.2852920275e+03 1.0000063522e+00 1.0348070272e-02 1.3595248709e-01 3.3097399663e+00 8.4050513020e+04 -1.0979153360e-04 7.2896810131e-02 -1.6016340025e-01 3.3104650750e+00 5.0244005549e-06 2.8152037419e-02 5.4599182082e-02 3.3075941488e+00
3.2856847266e+03 1536819 1.6564047266e+03 3 1 2506 3.2833673286e+03 3.2856847266e+03 1.0000066860e+00 1.0359315330e-02 1.3138936850e-01 3.2957862132e+00 9.9261018852e+04 -1.1257770192e-04 7.3005256299e-02 -1.7331759198e-01 3.4344525829e+00 5.2768678058e-06 2.8160265918e-02 6.2944343499e-02 3.3465766696e+00
3.2856847266e+03 1536819 1.6564047266e+03 3 1 2506 3.2833673286e+03 3.2856847266e+03 1.0000066860e+00 1.0359315330e-02 1.3138936850e-01 3.2957862132e+00 9.9261018852e+04 -1.1257770192e-04 7.3005256299e-02 -1.7331759198e-01 3.4344525829e+00 5.2768678058e-06 2.8160265918e-02 6.2944343499e-02 3.3465766696e+00
