#eta_center xi_center pdf_xi pdf_gauss count pdf_eta
8.0124223602e-01 -1.6308137411e+01 0.0000000000e+00 7.0703433438e-59 0.0000000000e+00 0.0000000000e+00
8.0372670807e-01 -1.6104290219e+01 0.0000000000e+00 1.9238531933e-57 0.0000000000e+00 0.0000000000e+00
8.0621118012e-01 -1.5900443026e+01 0.0000000000e+00 5.0217700231e-56 0.0000000000e+00 0.0000000000e+00
8.0869565217e-01 -1.5696595833e+01 0.0000000000e+00 1.2574628932e-54 0.0000000000e+00 0.0000000000e+00
8.1118012422e-01 -1.5492748640e+01 0.0000000000e+00 3.0205567766e-53 0.0000000000e+00 0.0000000000e+00
8.1366459627e-01 -1.5288901448e+01 0.0000000000e+00 6.9603695063e-52 0.0000000000e+00 0.0000000000e+00
8.1614906832e-01 -1.5085054255e+01 0.0000000000e+00 1.5386188716e-50 0.0000000000e+00 0.0000000000e+00
8.1863354037e-01 -1.4881207062e+01 0.0000000000e+00 3.2627461134e-49 0.0000000000e+00 0.0000000000e+00
8.2111801242e-01 -1.4677359870e+01 0.0000000000e+00 6.6372621945e-48 0.0000000000e+00 0.0000000000e+00
8.2360248447e-01 -1.4473512677e+01 0.0000000000e+00 1.2952336957e-46 0.0000000000e+00 0.0000000000e+00
8.2608695652e-01 -1.4269665484e+01 0.0000000000e+00 2.4247153462e-45 0.0000000000e+00 0.0000000000e+00
8.2857142857e-01 -1.4065818292e+01 0.0000000000e+00 4.3543852993e-44 0.0000000000e+00 0.0000000000e+00
8.3105590062e-01 -1.3861971099e+01 0.0000000000e+00 7.5014706780e-43 0.0000000000e+00 0.0000000000e+00
8.3354037267e-01 -1.3658123906e+01 0.0000000000e+00 1.2397081145e-41 0.0000000000e+00 0.0000000000e+00
8.3602484472e-01 -1.3454276714e+01 0.0000000000e+00 1.9653773138e-40 0.0000000000e+00 0.0000000000e+00
8.3850931677e-01 -1.3250429521e+01 0.0000000000e+00 2.9889999000e-39 0.0000000000e+00 0.0000000000e+00
8.4099378882e-01 -1.3046582328e+01 0.0000000000e+00 4.3607313216e-38 0.0000000000e+00 0.0000000000e+00
8.4347826087e-01 -1.2842735135e+01 0.0000000000e+00 6.1030401203e-37 0.0000000000e+00 0.0000000000e+00
8.4596273292e-01 -1.2638887943e+01 0.0000000000e+00 8.1938231764e-36 0.0000000000e+00 0.0000000000e+00
8.4844720497e-01 -1.2435040750e+01 0.0000000000e+00 1.0553108838e-34 0.0000000000e+00 0.0000000000e+00
8.5093167702e-01 -1.2231193557e+01 0.0000000000e+00 1.3038502475e-33 0.0000000000e+00 0.0000000000e+00
8.5341614907e-01 -1.2027346365e+01 0.0000000000e+00 1.5453557673e-32 0.0000000000e+00 0.0000000000e+00
8.5590062112e-01 -1.1823499172e+01 0.0000000000e+00 1.7570442852e-31 0.0000000000e+00 0.0000000000e+00
8.5838509317e-01 -1.1619651979e+01 0.0000000000e+00 1.9164187231e-30 0.0000000000e+00 0.0000000000e+00
8.6086956522e-01 -1.1415804787e+01 0.0000000000e+00 2.0051717139e-29 0.0000000000e+00 0.0000000000e+00
8.6335403727e-01 -1.1211957594e+01 0.0000000000e+00 2.0126404688e-28 0.0000000000e+00 0.0000000000e+00
8.6583850932e-01 -1.1008110401e+01 0.0000000000e+00 1.9379131033e-27 0.0000000000e+00 0.0000000000e+00
8.6832298137e-01 -1.0804263209e+01 0.0000000000e+00 1.7900116787e-26 0.0000000000e+00 0.0000000000e+00
8.7080745342e-01 -1.0600416016e+01 0.0000000000e+00 1.5861012110e-25 0.0000000000e+00 0.0000000000e+00
8.7329192547e-01 -1.0396568823e+01 0.0000000000e+00 1.3482157487e-24 0.0000000000e+00 0.0000000000e+00
8.7577639752e-01 -1.0192721631e+01 0.0000000000e+00 1.0993636219e-23 0.0000000000e+00 0.0000000000e+00
8.7826086957e-01 -9.9888744378e+00 0.0000000000e+00 8.5995711704e-23 0.0000000000e+00 0.0000000000e+00
8.8074534161e-01 -9.7850272452e+00 0.0000000000e+00 6.4530598806e-22 0.0000000000e+00 0.0000000000e+00
8.8322981366e-01 -9.5811800525e+00 0.0000000000e+00 4.6452389843e-21 0.0000000000e+00 0.0000000000e+00
8.8571428571e-01 -9.3773328598e+00 0.0000000000e+00 3.2077749830e-20 0.0000000000e+00 0.0000000000e+00
8.8819875776e-01 -9.1734856671e+00 0.0000000000e+00 2.1249719271e-19 0.0000000000e+00 0.0000000000e+00
8.9068322981e-01 -8.9696384744e+00 0.0000000000e+00 1.3503798995e-18 0.0000000000e+00 0.0000000000e+00
8.9316770186e-01 -8.7657912817e+00 0.0000000000e+00 8.2321296126e-18 0.0000000000e+00 0.0000000000e+00
8.9565217391e-01 -8.5619440890e+00 0.0000000000e+00 4.8141753123e-17 0.0000000000e+00 0.0000000000e+00
8.9813664596e-01 -8.3580968963e+00 0.0000000000e+00 2.7007542623e-16 0.0000000000e+00 0.0000000000e+00
9.0062111801e-01 -8.1542497037e+00 0.0000000000e+00 1.4534553869e-15 0.0000000000e+00 0.0000000000e+00
9.0310559006e-01 -7.9504025110e+00 0.0000000000e+00 7.5036368666e-15 0.0000000000e+00 0.0000000000e+00
9.0559006211e-01 -7.7465553183e+00 0.0000000000e+00 3.7161683320e-14 0.0000000000e+00 0.0000000000e+00
9.0807453416e-01 -7.5427081256e+00 0.0000000000e+00 1.7655190771e-13 0.0000000000e+00 0.0000000000e+00
9.1055900621e-01 -7.3388609329e+00 0.0000000000e+00 8.0464240836e-13 0.0000000000e+00 0.0000000000e+00
