#eta_center xi_center pdf_xi pdf_gauss count pdf_eta
8.0124223602e-01 -1.8301840528e+01 0.0000000000e+00 7.3424678042e-74 0.0000000000e+00 0.0000000000e+00
8.0372670807e-01 -1.8073074453e+01 0.0000000000e+00 4.7075992368e-72 0.0000000000e+00 0.0000000000e+00
8.0621118012e-01 -1.7844308379e+01 0.0000000000e+00 2.8643664975e-70 0.0000000000e+00 0.0000000000e+00
8.0869565217e-01 -1.7615542305e+01 0.0000000000e+00 1.6539765806e-68 0.0000000000e+00 0.0000000000e+00
8.1118012422e-01 -1.7386776231e+01 0.0000000000e+00 9.0636222126e-67 0.0000000000e+00 0.0000000000e+00
8.1366459627e-01 -1.7158010157e+01 0.0000000000e+00 4.7135259573e-65 0.0000000000e+00 0.0000000000e+00
8.1614906832e-01 -1.6929244083e+01 0.0000000000e+00 2.3262783552e-63 0.0000000000e+00 0.0000000000e+00
8.1863354037e-01 -1.6700478009e+01 0.0000000000e+00 1.0895549180e-61 0.0000000000e+00 0.0000000000e+00
8.2111801242e-01 -1.6471711935e+01 0.0000000000e+00 4.8429305338e-60 0.0000000000e+00 0.0000000000e+00
8.2360248447e-01 -1.6242945860e+01 0.0000000000e+00 2.0428619655e-58 0.0000000000e+00 0.0000000000e+00
8.2608695652e-01 -1.6014179786e+01 0.0000000000e+00 8.1778939533e-57 0.0000000000e+00 0.0000000000e+00
8.2857142857e-01 -1.5785413712e+01 0.0000000000e+00 3.1068164440e-55 0.0000000000e+00 0.0000000000e+00
8.3105590062e-01 -1.5556647638e+01 0.0000000000e+00 1.1201118313e-53 0.0000000000e+00 0.0000000000e+00
8.3354037267e-01 -1.5327881564e+01 0.0000000000e+00 3.8324706948e-52 0.0000000000e+00 0.0000000000e+00
8.3602484472e-01 -1.5099115490e+01 0.0000000000e+00 1.2444228288e-50 0.0000000000e+00 0.0000000000e+00
8.3850931677e-01 -1.4870349416e+01 0.0000000000e+00 3.8346767941e-49 0.0000000000e+00 0.0000000000e+00
8.4099378882e-01 -1.4641583341e+01 0.0000000000e+00 1.1214017507e-47 0.0000000000e+00 0.0000000000e+00
8.4347826087e-01 -1.4412817267e+01 0.0000000000e+00 3.1121846977e-46 0.0000000000e+00 0.0000000000e+00
8.4596273292e-01 -1.4184051193e+01 0.0000000000e+00 8.1967401035e-45 0.0000000000e+00 0.0000000000e+00
8.4844720497e-01 -1.3955285119e+01 0.0000000000e+00 2.0487484395e-43 0.0000000000e+00 0.0000000000e+00
8.5093167702e-01 -1.3726519045e+01 0.0000000000e+00 4.8596811472e-42 0.0000000000e+00 0.0000000000e+00
8.5341614907e-01 -1.3497752971e+01 0.0000000000e+00 1.0939527986e-40 0.0000000000e+00 0.0000000000e+00
8.5590062112e-01 -1.3268986897e+01 0.0000000000e+00 2.3370126368e-39 0.0000000000e+00 0.0000000000e+00
8.5838509317e-01 -1.3040220822e+01 0.0000000000e+00 4.7380016387e-38 0.0000000000e+00 0.0000000000e+00
8.6086956522e-01 -1.2811454748e+01 0.0000000000e+00 9.1159308309e-37 0.0000000000e+00 0.0000000000e+00
8.6335403727e-01 -1.2582688674e+01 0.0000000000e+00 1.6644797067e-35 0.0000000000e+00 0.0000000000e+00
8.6583850932e-01 -1.2353922600e+01 0.0000000000e+00 2.8842151702e-34 0.0000000000e+00 0.0000000000e+00
8.6832298137e-01 -1.2125156526e+01 0.0000000000e+00 4.7429492506e-33 0.0000000000e+00 0.0000000000e+00
8.7080745342e-01 -1.1896390452e+01 0.0000000000e+00 7.4018617202e-32 0.0000000000e+00 0.0000000000e+00
8.7329192547e-01 -1.1667624378e+01 0.0000000000e+00 1.0962386905e-30 0.0000000000e+00 0.0000000000e+00
8.7577639752e-01 -1.1438858303e+01 0.0000000000e+00 1.5407811378e-29 0.0000000000e+00 0.0000000000e+00
8.7826086957e-01 -1.1210092229e+01 0.0000000000e+00 2.0551733005e-28 0.0000000000e+00 0.0000000000e+00
8.8074534161e-01 -1.0981326155e+01 0.0000000000e+00 2.6015226657e-27 0.0000000000e+00 0.0000000000e+00
8.8322981366e-01 -1.0752560081e+01 0.0000000000e+00 3.1252045476e-26 0.0000000000e+00 0.0000000000e+00
8.8571428571e-01 -1.0523794007e+01 0.0000000000e+00 3.5628779871e-25 0.0000000000e+00 0.0000000000e+00
