#eta_center xi_center pdf_xi pdf_gauss count pdf_eta
8.0124223602e-01 -1.7619247455e+01 0.0000000000e+00 1.5494613451e-68 0.0000000000e+00 0.0000000000e+00
8.0372670807e-01 -1.7399013471e+01 0.0000000000e+00 7.3259864737e-67 0.0000000000e+00 0.0000000000e+00
8.0621118012e-01 -1.7178779487e+01 0.0000000000e+00 3.2997944679e-65 0.0000000000e+00 0.0000000000e+00
8.0869565217e-01 -1.6958545503e+01 0.0000000000e+00 1.4159342242e-63 0.0000000000e+00 0.0000000000e+00
8.1118012422e-01 -1.6738311519e+01 0.0000000000e+00 5.7880820580e-62 0.0000000000e+00 0.0000000000e+00
8.1366459627e-01 -1.6518077534e+01 0.0000000000e+00 2.2540403766e-60 0.0000000000e+00 0.0000000000e+00
8.1614906832e-01 -1.6297843550e+01 0.0000000000e+00 8.3622686242e-59 0.0000000000e+00 0.0000000000e+00
8.1863354037e-01 -1.6077609566e+01 0.0000000000e+00 2.9554386529e-57 0.0000000000e+00 0.0000000000e+00
8.2111801242e-01 -1.5857375582e+01 0.0000000000e+00 9.9507357851e-56 0.0000000000e+00 0.0000000000e+00
8.2360248447e-01 -1.5637141598e+01 0.0000000000e+00 3.1917131444e-54 0.0000000000e+00 0.0000000000e+00
8.2608695652e-01 -1.5416907614e+01 0.0000000000e+00 9.7527686186e-53 0.0000000000e+00 0.0000000000e+00
8.2857142857e-01 -1.5196673630e+01 0.0000000000e+00 2.8390131287e-51 0.0000000000e+00 0.0000000000e+00
8.3105590062e-01 -1.4976439646e+01 0.0000000000e+00 7.8730369975e-50 0.0000000000e+00 0.0000000000e+00
8.3354037267e-01 -1.4756205662e+01 0.0000000000e+00 2.0799485635e-48 0.0000000000e+00 0.0000000000e+00
8.3602484472e-01 -1.4535971678e+01 0.0000000000e+00 5.2347784912e-47 0.0000000000e+00 0.0000000000e+00
8.3850931677e-01 -1.4315737694e+01 0.0000000000e+00 1.2551031943e-45 0.0000000000e+00 0.0000000000e+00
8.4099378882e-01 -1.4095503709e+01 0.0000000000e+00 2.8667906002e-44 0.0000000000e+00 0.0000000000e+00
8.4347826087e-01 -1.3875269725e+01 0.0000000000e+00 6.2380366230e-43 0.0000000000e+00 0.0000000000e+00
8.4596273292e-01 -1.3655035741e+01 0.0000000000e+00 1.2931094331e-41 0.0000000000e+00 0.0000000000e+00
8.4844720497e-01 -1.3434801757e+01 0.0000000000e+00 2.5536304653e-40 0.0000000000e+00 0.0000000000e+00
8.5093167702e-01 -1.3214567773e+01 0.0000000000e+00 4.8041463989e-39 0.0000000000e+00 0.0000000000e+00
8.5341614907e-01 -1.2994333789e+01 0.0000000000e+00 8.6101323498e-38 0.0000000000e+00 0.0000000000e+00
