#eta_center xi_center pdf_xi pdf_gauss count pdf_eta
8.0124223602e-01 -1.6952433843e+01 0.0000000000e+00 1.5705340528e-63 0.0000000000e+00 0.0000000000e+00
8.0372670807e-01 -1.6740534725e+01 0.0000000000e+00 5.5766363978e-62 0.0000000000e+00 0.0000000000e+00
8.0621118012e-01 -1.6528635606e+01 0.0000000000e+00 1.8932019426e-60 0.0000000000e+00 0.0000000000e+00
8.0869565217e-01 -1.6316736488e+01 0.0000000000e+00 6.1449902008e-59 0.0000000000e+00 0.0000000000e+00
8.1118012422e-01 -1.6104837369e+01 0.0000000000e+00 1.9069753913e-57 0.0000000000e+00 0.0000000000e+00
8.1366459627e-01 -1.5892938251e+01 0.0000000000e+00 5.6580740052e-56 0.0000000000e+00 0.0000000000e+00
8.1614906832e-01 -1.5681039132e+01 0.0000000000e+00 1.6050619493e-54 0.0000000000e+00 0.0000000000e+00
8.1863354037e-01 -1.5469140014e+01 0.0000000000e+00 4.3532600931e-53 0.0000000000e+00 0.0000000000e+00
8.2111801242e-01 -1.5257240895e+01 0.0000000000e+00 1.1288521717e-51 0.0000000000e+00 0.0000000000e+00
8.2360248447e-01 -1.5045341777e+01 0.0000000000e+00 2.7987181926e-50 0.0000000000e+00 0.0000000000e+00
8.2608695652e-01 -1.4833442658e+01 0.0000000000e+00 6.6340831368e-49 0.0000000000e+00 0.0000000000e+00
8.2857142857e-01 -1.4621543540e+01 0.0000000000e+00 1.5034960426e-47 0.0000000000e+00 0.0000000000e+00
8.3105590062e-01 -1.4409644422e+01 0.0000000000e+00 3.2577916793e-46 0.0000000000e+00 0.0000000000e+00
8.3354037267e-01 -1.4197745303e+01 0.0000000000e+00 6.7490705965e-45 0.0000000000e+00 0.0000000000e+00
8.3602484472e-01 -1.3985846185e+01 0.0000000000e+00 1.3367933393e-43 0.0000000000e+00 0.0000000000e+00
8.3850931677e-01 -1.3773947066e+01 0.0000000000e+00 2.5315366301e-42 0.0000000000e+00 0.0000000000e+00
8.4099378882e-01 -1.3562047948e+01 0.0000000000e+00 4.5835692734e-41 0.0000000000e+00 0.0000000000e+00
8.4347826087e-01 -1.3350148829e+01 0.0000000000e+00 7.9345632021e-40 0.0000000000e+00 0.0000000000e+00
8.4596273292e-01 -1.3138249711e+01 0.0000000000e+00 1.3132333070e-38 0.0000000000e+00 0.0000000000e+00
8.4844720497e-01 -1.2926350592e+01 0.0000000000e+00 2.0780710638e-37 0.0000000000e+00 0.0000000000e+00
8.5093167702e-01 -1.2714451474e+01 0.0000000000e+00 3.1439710753e-36 0.0000000000e+00 0.0000000000e+00
8.5341614907e-01 -1.2502552355e+01 0.0000000000e+00 4.5477473499e-35 0.0000000000e+00 0.0000000000e+00
8.5590062112e-01 -1.2290653237e+01 0.0000000000e+00 6.2894657702e-34 0.0000000000e+00 0.0000000000e+00
8.5838509317e-01 -1.2078754118e+01 0.0000000000e+00 8.3163130116e-33 0.0000000000e+00 0.0000000000e+00
8.6086956522e-01 -1.1866855000e+01 0.0000000000e+00 1.0513505278e-31 0.0000000000e+00 0.0000000000e+00
8.6335403727e-01 -1.1654955881e+01 0.0000000000e+00 1.2707610296e-30 0.0000000000e+00 0.0000000000e+00
8.6583850932e-01 -1.1443056763e+01 0.0000000000e+00 1.4685200468e-29 0.0000000000e+00 0.0000000000e+00
